,First Name,Other Names,Full Name,DOB,Day of Birth,Month of Birth,Year of Birth,Position,International Caps,International Goals,Club,Club Country
495,Cesar,Azpilicueta,"Azpilicueta, Cesar",28 August 1989,28,August,1989,DF,42,1,Chelsea,England
496,Eric,Garcia,"Garcia, Eric",9 January 2001,9,January,2001,DF,19,0,Barcelona,Spain
497,Pau,Torres,"Torres, Pau",16 January 1997,16,January,1997,DF,22,1,Villarreal,Spain
498,Sergio,Busquets,"Busquets, Sergio",16 July 1988,16,July,1988,MF,139,2,Barcelona,Spain
499,Marcos,Llorente,"Llorente, Marcos",30 January 1995,30,January,1995,MF,17,0,Atlético Madrid,Spain
500,Alvaro,Morata,"Morata, Alvaro",23 October 1992,23,October,1992,FW,57,27,Atlético Madrid,Spain
501,Koke,N/A,Koke,8 January 1992,8,January,1992,MF,68,0,Atlético Madrid,Spain
502,Gavi,N/A,Gavi,5 August 2004,5,August,2004,MF,13,2,Barcelona,Spain
503,Marco,Asensio,"Asensio, Marco",21 January 1996,21,January,1996,FW,31,1,Real Madrid,Spain
504,Ferran,Torres,"Torres, Ferran",29 February 2000,29,February,2000,FW,31,13,Barcelona,Spain
505,Nico,Williams,"Williams, Nico",12 July 2002,12,July,2002,FW,3,1,Athletic Bilbao,Spain
506,David,Raya,"Raya, David",15 September 1995,15,September,1995,GK,2,0,Brentford,England
507,Alejandro,Balde,"Balde, Alejandro",18 October 2003,18,October,2003,DF,0,0,Barcelona,Spain
508,Hugo,Guillamon,"Guillamon, Hugo",31 January 2000,31,January,2000,DF,3,1,Valencia,Spain
509,Rodri,N/A,Rodri,22 June 1996,22,June,1996,MF,35,1,Manchester City,England
510,Yeremy,Pino,"Pino, Yeremy",20 October 2002,20,October,2002,FW,7,1,Villarreal,Spain
511,Jordi,Alba,"Alba, Jordi",21 March 1989,21,March,1989,DF,87,9,Barcelona,Spain
512,Carlos,Soler,"Soler, Carlos",2 January 1997,2,January,1997,MF,12,3,Paris Saint-Germain,France
513,Dani,Carvajal,"Carvajal, Dani",11 January 1992,11,January,1992,DF,31,0,Real Madrid,Spain
514,Dani,Olmo,"Olmo, Dani",7 May 1998,7,May,1998,FW,25,4,RB Leipzig,Germany
515,Pablo,Sarabia,"Sarabia, Pablo",11 May 1992,11,May,1992,FW,25,9,Paris Saint-Germain,France
516,Unai,Simon,"Simon, Unai",11 June 1997,11,June,1997,GK,27,0,Athletic Bilbao,Spain
517,Aymeric,Laporte,"Laporte, Aymeric",27 May 1994,27,May,1994,DF,16,1,Manchester City,England
518,Ansu,Fati,"Fati, Ansu",31 October 2002,31,October,2002,FW,5,2,Barcelona,Spain
519,Pedri,N/A,Pedri,25 November 2002,25,November,2002,MF,14,0,Barcelona,Spain
520,Thibaut,Courtois,"Courtois, Thibaut",11 May 1992,11,May,1992,GK,97,0,Real Madrid,Spain
521,Toby,Alderweireld,"Alderweireld, Toby",2 March 1989,2,March,1989,DF,124,5,Antwerp,Belgium
522,Arthur,Theate,"Theate, Arthur",25 May 2000,25,May,2000,DF,4,0,Rennes,France
523,Wout,Faes,"Faes, Wout",3 April 1998,3,April,1998,DF,1,0,Leicester City,England
524,Jan,Vertonghen,"Vertonghen, Jan",24 April 1987,24,April,1987,DF,142,9,Anderlecht,Belgium
525,Axel,Witsel,"Witsel, Axel",12 January 1989,12,January,1989,MF,127,12,Atlético Madrid,Spain
526,Kevin,De Bruyne,"De Bruyne, Kevin",28 June 1991,28,June,1991,MF,94,25,Manchester City,England
527,Youri,Tielemans,"Tielemans, Youri",7 May 1997,7,May,1997,MF,55,5,Leicester City,England
528,Romelu,Lukaku,"Lukaku, Romelu",13 May 1993,13,May,1993,FW,102,68,Internazionale,Italy
529,Eden,Hazard,"Hazard, Eden",7 January 1991,7,January,1991,FW,123,33,Real Madrid,Spain
530,Yannick,Carrasco,"Carrasco, Yannick",4 September 1993,4,September,1993,FW,60,8,Atlético Madrid,Spain
531,Simon,Mignolet,"Mignolet, Simon",6 March 1988,6,March,1988,GK,35,0,Club Brugge,Belgium
532,Koen,Casteels,"Casteels, Koen",25 June 1992,25,June,1992,GK,4,0,VfL Wolfsburg,Germany
533,Dries,Mertens,"Mertens, Dries",6 May 1987,6,May,1987,FW,107,21,Galatasaray,Turkey
534,Thomas,Meunier,"Meunier, Thomas",12 September 1991,12,September,1991,MF,59,8,Borussia Dortmund,Germany
535,Thorgan,Hazard,"Hazard, Thorgan",29 March 1993,29,March,1993,MF,45,9,Borussia Dortmund,Germany
536,Leandro,Trossard,"Trossard, Leandro",4 December 1994,4,December,1994,FW,21,5,Brighton & Hove Albion,England
537,Amadou,Onana,"Onana, Amadou",16 August 2001,16,August,2001,MF,2,0,Everton,England
538,Leander,Dendoncker,"Dendoncker, Leander",15 April 1995,15,April,1995,DF,29,1,Aston Villa,England
539,Hans,Vanaken,"Vanaken, Hans",24 August 1992,24,August,1992,MF,23,5,Club Brugge,Belgium
540,Timothy,Castagne,"Castagne, Timothy",5 December 1995,5,December,1995,MF,26,2,Leicester City,England
541,Charles,De Ketelaere,"De Ketelaere, Charles",10 March 2001,10,March,2001,FW,10,1,Milan,Italy
542,Michy,Batshuayi,"Batshuayi, Michy",2 October 1993,2,October,1993,FW,48,26,Fenerbahçe,Turkey
543,Lois,Openda,"Openda, Lois",16 February 2000,16,February,2000,FW,5,2,Lens,France
544,Jeremy,Doku,"Doku, Jeremy",27 May 2002,27,May,2002,FW,11,2,Rennes,France
545,Zeno,Debast,"Debast, Zeno",24 October 2003,24,October,2003,DF,3,0,Anderlecht,Belgium
546,Dayne,St Clair,"St Clair, Dayne",9 May 1997,9,May,1997,GK,2,0,Minnesota United FC,United States
547,Alistair,Johnston,"Johnston, Alistair",8 October 1998,8,October,1998,DF,30,1,CF Montréal,Canada
548,Sam,Adekugbe,"Adekugbe, Sam",16 January 1995,16,January,1995,DF,34,1,Hatayspor,Turkey
549,Kamal,Miller,"Miller, Kamal",16 May 1997,16,May,1997,DF,29,0,CF Montréal,Canada
550,Steven,Vitoria,"Vitoria, Steven",11 January 1987,11,January,1987,DF,35,4,Chaves,Portugal
551,Samuel,Piette,"Piette, Samuel",12 November 1994,12,November,1994,MF,66,0,CF Montréal,Canada
552,Stephen,Eustaquio,"Eustaquio, Stephen",21 December 1996,21,December,1996,MF,26,3,Porto,Portugal
553,Liam,Fraser,"Fraser, Liam",13 February 1998,13,February,1998,MF,15,0,Deinze,Belgium
554,Lucas,Cavallini,"Cavallini, Lucas",28 December 1992,28,December,1992,FW,34,18,Vancouver Whitecaps FC,Canada
555,Junior,Hoilett,"Hoilett, Junior",5 June 1990,5,June,1990,MF,50,14,Reading,England
556,Tajon,Buchanan,"Buchanan, Tajon",8 February 1999,8,February,1999,FW,26,4,Club Brugge,Belgium
557,Ike,Ugbo,"Ugbo, Ike",21 September 1998,21,September,1998,FW,8,0,Troyes,France
558,Atiba,Hutchinson,"Hutchinson, Atiba",8 February 1983,8,February,1983,MF,98,9,Beşiktaş,Turkey
559,Mark-Anthony,Kaye,"Kaye, Mark-Anthony",2 December 1994,2,December,1994,MF,38,2,Toronto FC,Canada
560,Ismael,Kone,"Kone, Ismael",16 June 2002,16,June,2002,MF,6,1,CF Montréal,Canada
561,James,Pantemis,"Pantemis, James",21 February 1997,21,February,1997,GK,0,0,CF Montréal,Canada
562,Cyle,Larin,"Larin, Cyle",17 April 1995,17,April,1995,FW,55,25,Club Brugge,Belgium
563,Milan,Borjan,"Borjan, Milan",23 October 1987,23,October,1987,GK,68,0,Red Star Belgrade,Serbia
564,Alphonso,Davies,"Davies, Alphonso",2 November 2000,2,November,2000,FW,34,12,Bayern Munich,Germany
565,Jonathan,David,"David, Jonathan",14 January 2000,14,January,2000,FW,35,22,Lille,France
566,Jonathan,Osorio,"Osorio, Jonathan",12 June 1992,12,June,1992,MF,57,7,Toronto FC,Canada
567,Richie,Laryea,"Laryea, Richie",7 January 1995,7,January,1995,DF,34,1,Toronto FC,Canada
568,Liam,Millar,"Millar, Liam",27 September 1999,27,September,1999,MF,16,0,Basel,Switzerland
569,David,Wotherspoon,"Wotherspoon, David",16 January 1990,16,January,1990,MF,10,1,St Johnstone,Scotland
570,Derek,Cornelius,"Cornelius, Derek",25 November 1997,25,November,1997,DF,14,0,Panetolikos,Greece
571,Joel,Waterman,"Waterman, Joel",24 January 1996,24,January,1996,DF,2,0,CF Montréal,Canada
572,Dominik,Livakovic,"Livakovic, Dominik",9 January 1995,9,January,1995,GK,34,0,Dinamo Zagreb,Croatia
573,Josip,Stanisic,"Stanisic, Josip",2 April 2000,2,April,2000,DF,7,0,Bayern Munich,Germany
574,Borna,Barisic,"Barisic, Borna",10 November 1992,10,November,1992,DF,28,1,Rangers,Scotland
575,Ivan,Perisic,"Perisic, Ivan",2 February 1989,2,February,1989,FW,116,32,Tottenham Hotspur,England
576,Martin,Erlic,"Erlic, Martin",24 January 1998,24,January,1998,DF,4,0,Sassuolo,Italy
577,Dejan,Lovren,"Lovren, Dejan",5 July 1989,5,July,1989,DF,72,5,Zenit Saint Petersburg,Russia
578,Lovro,Majer,"Majer, Lovro",17 January 1998,17,January,1998,MF,11,3,Rennes,France
579,Mateo,Kovacic,"Kovacic, Mateo",6 May 1994,6,May,1994,MF,84,3,Chelsea,England
580,Andrej,Kramaric,"Kramaric, Andrej",19 June 1991,19,June,1991,FW,74,20,1899 Hoffenheim,Germany
581,Luka,Modric,"Modric, Luka",9 September 1985,9,September,1985,MF,155,23,Real Madrid,Spain
582,Marcelo,Brozovic,"Brozovic, Marcelo",16 November 1992,16,November,1992,MF,77,7,Internazionale,Italy
583,Ivo,Grbic,"Grbic, Ivo",18 January 1996,18,January,1996,GK,2,0,Atlético Madrid,Spain
584,Nikola,Vlasic,"Vlasic, Nikola",4 October 1997,4,October,1997,MF,42,7,Torino,Italy
585,Marko,Livaja,"Livaja, Marko",26 August 1993,26,August,1993,FW,14,3,Hajduk Split,Croatia
586,Mario,Pasalic,"Pasalic, Mario",9 February 1995,9,February,1995,MF,43,7,Atalanta,Italy
587,Bruno,Petkovic,"Petkovic, Bruno",16 September 1994,16,September,1994,FW,23,6,Dinamo Zagreb,Croatia
588,Ante,Budimir,"Budimir, Ante",22 July 1991,22,July,1991,FW,15,1,Osasuna,Spain
589,Mislav,Orsic,"Orsic, Mislav",29 December 1992,29,December,1992,FW,21,1,Dinamo Zagreb,Croatia
590,Borna,Sosa,"Sosa, Borna",21 January 1998,21,January,1998,DF,8,1,VfB Stuttgart,Germany
591,Josko,Gvardiol,"Gvardiol, Josko",23 January 2002,23,January,2002,DF,12,1,RB Leipzig,Germany
592,Domagoj,Vida,"Vida, Domagoj",29 April 1989,29,April,1989,DF,100,4,AEK Athens,Greece
593,Josip,Juranovic,"Juranovic, Josip",16 August 1995,16,August,1995,DF,21,0,Celtic,Scotland
594,Ivica,Ivusic,"Ivusic, Ivica",1 February 1995,1,February,1995,GK,5,0,Osijek,Croatia
595,Josip,Sutalo,"Sutalo, Josip",28 February 2000,28,February,2000,DF,3,0,Dinamo Zagreb,Croatia
596,Luka,Sucic,"Sucic, Luka",8 September 2002,8,September,2002,MF,4,0,Red Bull Salzburg,Austria
597,Kristijan,Jakic,"Jakic, Kristijan",14 May 1997,14,May,1997,MF,4,0,Eintracht Frankfurt,Germany
598,Yassine,Bounou,"Bounou, Yassine",5 April 1991,5,April,1991,GK,46,0,Sevilla,Spain
599,Achraf,Hakimi,"Hakimi, Achraf",4 November 1998,4,November,1998,DF,54,8,Paris Saint-Germain,France
600,Noussair,Mazraoui,"Mazraoui, Noussair",14 November 1997,14,November,1997,DF,15,2,Bayern Munich,Germany
601,Sofyan,Amrabat,"Amrabat, Sofyan",21 August 1996,21,August,1996,MF,39,0,Fiorentina,Italy
602,Nayef,Aguerd,"Aguerd, Nayef",30 March 1996,30,March,1996,DF,22,1,West Ham United,England
603,Romain,Saiss,"Saiss, Romain",26 March 1990,26,March,1990,DF,66,1,Beşiktaş,Turkey
604,Hakim,Ziyech,"Ziyech, Hakim",19 March 1993,19,March,1993,MF,43,18,Chelsea,England
605,Azzedine,Ounahi,"Ounahi, Azzedine",19 April 2000,19,April,2000,MF,10,2,Angers,France
606,Abderrazak,Hamdallah,"Hamdallah, Abderrazak",17 December 1990,17,December,1990,FW,18,6,Al-Ittihad,Saudi Arabia
607,Anass,Zaroury,"Zaroury, Anass",7 November 2000,7,November,2000,MF,1,0,Burnley,England
608,Abdelhamid,Sabiri,"Sabiri, Abdelhamid",28 November 1996,28,November,1996,FW,2,1,Sampdoria,Italy
609,Munir,Mohamedi,"Mohamedi, Munir",10 May 1989,10,May,1989,GK,43,0,Al-Wehda,Saudi Arabia
610,Ilias,Chair,"Chair, Ilias",30 October 1997,30,October,1997,MF,11,1,Queens Park Rangers,England
611,Zakaria,Aboukhlal,"Aboukhlal, Zakaria",18 February 2000,18,February,2000,MF,12,2,Toulouse,France
612,Selim,Amallah,"Amallah, Selim",15 November 1996,15,November,1996,MF,24,4,Standard Liège,Belgium
613,Abde,Ezzalzouli,"Ezzalzouli, Abde",17 December 2001,17,December,2001,FW,2,0,Osasuna,Spain
614,Sofiane,Boufal,"Boufal, Sofiane",17 September 1993,17,September,1993,MF,32,6,Angers,France
615,Jawad,Yamiq,"Yamiq, Jawad",29 February 1992,29,February,1992,DF,12,2,Valladolid,Spain
616,Youssef,En-Nesyri,"En-Nesyri, Youssef",1 June 1997,1,June,1997,FW,50,15,Sevilla,Spain
617,Achraf,Dari,"Dari, Achraf",6 May 1999,6,May,1999,DF,4,0,Brest,France
618,Walid,Cheddira,"Cheddira, Walid",22 January 1998,22,January,1998,FW,2,0,Bari,Italy
619,Ahmed Reda,Tagnaouti,"Tagnaouti, Ahmed Reda",5 April 1996,5,April,1996,GK,3,0,Wydad AC,Morocco
620,Bilal,Khannous,"Khannous, Bilal",10 May 2004,10,May,2004,MF,0,0,Genk,Belgium
621,Badr,Benoun,"Benoun, Badr",30 September 1993,30,September,1993,DF,3,0,Qatar SC,Qatar
622,Yahia,Attiyat Allah,"Attiyat Allah, Yahia",2 March 1995,2,March,1995,DF,2,0,Wydad AC,Morocco
623,Yahya,Jabrane,"Jabrane, Yahya",18 June 1991,18,June,1991,MF,5,0,Wydad AC,Morocco
624,Alisson,N/A,Alisson,2 October 1992,2,October,1992,GK,57,0,Liverpool,England
625,Danilo,N/A,Danilo,15 July 1991,15,July,1991,DF,46,1,Juventus,Italy
626,Thiago,Silva,"Silva, Thiago",22 September 1984,22,September,1984,DF,109,7,Chelsea,England
627,Marquinhos,N/A,Marquinhos,14 May 1994,14,May,1994,DF,71,5,Paris Saint-Germain,France
628,Casemiro,N/A,Casemiro,23 February 1992,23,February,1992,MF,65,5,Manchester United,England
629,Alex Sandro,N/A,Alex Sandro,26 January 1991,26,January,1991,DF,37,2,Juventus,Italy
630,Lucas,Paqueta,"Paqueta, Lucas",27 August 1997,27,August,1997,MF,35,7,West Ham United,England
631,Fred,N/A,Fred,5 March 1993,5,March,1993,MF,28,0,Manchester United,England
632,Richarlison,N/A,Richarlison,10 May 1997,10,May,1997,FW,38,17,Tottenham Hotspur,England
633,Neymar,N/A,Neymar,5 February 1992,5,February,1992,FW,121,75,Paris Saint-Germain,France
634,Raphinha,N/A,Raphinha,14 December 1996,14,December,1996,FW,11,5,Barcelona,Spain
635,Weverton,N/A,Weverton,13 December 1987,13,December,1987,GK,8,0,Palmeiras,Brazil
636,Dani,Alves,"Alves, Dani",6 May 1983,6,May,1983,DF,124,8,UNAM,Mexico
637,Eder,Militao,"Militao, Eder",18 January 1998,18,January,1998,DF,23,1,Real Madrid,Spain
638,Fabinho,N/A,Fabinho,23 October 1993,23,October,1993,MF,28,0,Liverpool,England
639,Alex,Telles,"Telles, Alex",15 December 1992,15,December,1992,DF,8,0,Sevilla,Spain
640,Bruno,Guimaraes,"Guimaraes, Bruno",16 November 1997,16,November,1997,MF,8,1,Newcastle United,England
641,Gabriel,Jesus,"Jesus, Gabriel",3 April 1997,3,April,1997,FW,56,19,Arsenal,England
642,Antony,N/A,Antony,24 February 2000,24,February,2000,FW,11,2,Manchester United,England
643,Vinicius Junior,N/A,Vinicius Junior,12 July 2000,12,July,2000,FW,16,1,Real Madrid,Spain
644,Rodrygo,N/A,Rodrygo,9 January 2001,9,January,2001,FW,7,1,Real Madrid,Spain
645,Everton,Ribeiro,"Ribeiro, Everton",10 April 1989,10,April,1989,MF,21,3,Flamengo,Brazil
646,Ederson,N/A,Ederson,17 August 1993,17,August,1993,GK,18,0,Manchester City,England
647,Bremer,N/A,Bremer,18 March 1997,18,March,1997,DF,1,0,Juventus,Italy
648,Pedro,N/A,Pedro,20 June 1997,20,June,1997,FW,2,1,Flamengo,Brazil
649,Gabriel,Martinelli,"Martinelli, Gabriel",18 June 2001,18,June,2001,FW,3,0,Arsenal,England
650,Simon,Ngapandouetnbu,"Ngapandouetnbu, Simon",12 April 2003,12,April,2003,GK,0,0,Marseille,France
651,Jerome,Ngom Mbekeli,"Ngom Mbekeli, Jerome",30 September 1998,30,September,1998,DF,2,0,Colombe Sportive,Cameroon
652,Nicolas,Nkoulou,"Nkoulou, Nicolas",27 March 1990,27,March,1990,DF,79,2,Aris,Greece
653,Christopher,Wooh,"Wooh, Christopher",18 September 2001,18,September,2001,DF,4,0,Rennes,France
654,Gael,Ondoua,"Ondoua, Gael",4 November 1995,4,November,1995,MF,4,0,Hannover 96,Germany
655,Moumi,Ngamaleu,"Ngamaleu, Moumi",9 July 1994,9,July,1994,FW,42,4,Dynamo Moscow,Russia
656,Georges-Kevin,Nkoudou,"Nkoudou, Georges-Kevin",13 February 1995,13,February,1995,MF,3,0,Beşiktaş,Turkey
657,Andre-Frank,Zambo Anguissa,"Zambo Anguissa, Andre-Frank",16 November 1995,16,November,1995,MF,44,5,Napoli,Italy
658,Jean-Pierre,Nsame,"Nsame, Jean-Pierre",1 May 1993,1,May,1993,FW,4,0,Young Boys,Switzerland
659,Vincent,Aboubakar,"Aboubakar, Vincent",22 January 1992,22,January,1992,FW,92,33,Al-Nassr,Saudi Arabia
660,Christian,Bassogog,"Bassogog, Christian",18 October 1995,18,October,1995,FW,44,7,Shanghai Shenhua,China
661,Karl,Toko Ekambi,"Toko Ekambi, Karl",14 September 1992,14,September,1992,FW,52,12,Lyon,France
662,Eric Maxim,Choupo-Moting,"Choupo-Moting, Eric Maxim",23 March 1989,23,March,1989,FW,70,20,Bayern Munich,Germany
663,Samuel,Gouet,"Gouet, Samuel",14 December 1997,14,December,1997,MF,22,0,Mechelen,Belgium
664,Pierre,Kunde,"Kunde, Pierre",26 July 1995,26,July,1995,MF,33,1,Olympiacos,Greece
665,Devis,Epassy,"Epassy, Devis",2 February 1993,2,February,1993,GK,5,0,Abha,Saudi Arabia
666,Olivier,Mbaizo,"Mbaizo, Olivier",15 August 1997,15,August,1997,DF,11,0,Philadelphia Union,United States
667,Martin,Hongla,"Hongla, Martin",16 March 1998,16,March,1998,MF,20,0,Hellas Verona,Italy
668,Collins,Fai,"Fai, Collins",13 August 1992,13,August,1992,DF,53,0,Al-Tai,Saudi Arabia
669,Bryan,Mbeumo,"Mbeumo, Bryan",7 August 1999,7,August,1999,FW,4,0,Brentford,England
670,Jean-Charles,Castelletto,"Castelletto, Jean-Charles",26 January 1995,26,January,1995,DF,15,0,Nantes,France
671,Olivier,Ntcham,"Ntcham, Olivier",9 February 1996,9,February,1996,MF,4,0,Swansea City,Wales
672,Andre,Onana,"Onana, Andre",2 April 1996,2,April,1996,GK,34,0,Internazionale,Italy
673,Enzo,Ebosse,"Ebosse, Enzo",11 March 1999,11,March,1999,DF,3,0,Udinese,Italy
674,Nouhou,Tolo,"Tolo, Nouhou",23 June 1997,23,June,1997,DF,19,0,Seattle Sounders FC,United States
675,Souaibou,Marou,"Marou, Souaibou",3 December 2000,3,December,2000,MF,3,1,Coton Sport,Cameroon
676,Marko,Dmitrovic,"Dmitrovic, Marko",24 January 1992,24,January,1992,GK,19,0,Sevilla,Spain
677,Strahinja,Pavlovic,"Pavlovic, Strahinja",24 May 2001,24,May,2001,DF,22,1,Red Bull Salzburg,Austria
678,Strahinja,Erakovic,"Erakovic, Strahinja",22 January 2001,22,January,2001,DF,2,0,Red Star Belgrade,Serbia
679,Nikola,Milenkovic,"Milenkovic, Nikola",12 October 1997,12,October,1997,DF,39,3,Fiorentina,Italy
680,Milos,Veljkovic,"Veljkovic, Milos",26 September 1995,26,September,1995,DF,21,0,Werder Bremen,Germany
681,Nemanja,Maksimovic,"Maksimovic, Nemanja",26 January 1995,26,January,1995,MF,40,0,Getafe,Spain
682,Nemanja,Radonjic,"Radonjic, Nemanja",15 February 1996,15,February,1996,FW,36,5,Torino,Italy
683,Nemanja,Gudelj,"Gudelj, Nemanja",16 November 1991,16,November,1991,MF,49,1,Sevilla,Spain
684,Aleksandar,Mitrovic,"Mitrovic, Aleksandar",16 September 1994,16,September,1994,FW,76,50,Fulham,England
685,Dusan,Tadic,"Tadic, Dusan",20 November 1988,20,November,1988,FW,91,20,Ajax,Netherlands
686,Luka,Jovic,"Jovic, Luka",23 December 1997,23,December,1997,FW,29,10,Fiorentina,Italy
687,Predrag,Rajkovic,"Rajkovic, Predrag",31 October 1995,31,October,1995,GK,28,0,Mallorca,Spain
688,Stefan,Mitrovic,"Mitrovic, Stefan",22 May 1990,22,May,1990,DF,35,0,Getafe,Spain
689,Andrija,Zivkovic,"Zivkovic, Andrija",11 July 1996,11,July,1996,MF,29,1,PAOK,Greece
690,Srdjan,Babic,"Babic, Srdjan",22 April 1996,22,April,1996,DF,2,0,Almería,Spain
691,Sasa,Lukic,"Lukic, Sasa",13 August 1996,13,August,1996,MF,32,2,Torino,Italy
692,Filip,Kostic,"Kostic, Filip",1 November 1992,1,November,1992,MF,50,3,Juventus,Italy
693,Dusan,Vlahovic,"Vlahovic, Dusan",28 January 2000,28,January,2000,FW,17,9,Juventus,Italy
694,Uros,Racic,"Racic, Uros",17 March 1998,17,March,1998,MF,9,0,Braga,Portugal
695,Sergej,Milinkovic-Savic,"Milinkovic-Savic, Sergej",27 February 1995,27,February,1995,MF,36,6,Lazio,Italy
696,Filip,Djuricic,"Djuricic, Filip",30 January 1992,30,January,1992,FW,37,5,Sampdoria,Italy
697,Darko,Lazovic,"Lazovic, Darko",15 September 1990,15,September,1990,MF,26,1,Hellas Verona,Italy
698,Vanja,Milinkovic-Savic,"Milinkovic-Savic, Vanja",20 February 1997,20,February,1997,GK,7,0,Torino,Italy
699,Ivan,Ilic,"Ilic, Ivan",17 March 2001,17,March,2001,MF,6,0,Hellas Verona,Italy
700,Filip,Mladenovic,"Mladenovic, Filip",15 August 1991,15,August,1991,DF,20,1,Legia Warsaw,Poland
701,Marko,Grujic,"Grujic, Marko",13 April 1996,13,April,1996,MF,18,0,Porto,Portugal
702,Yann,Sommer,"Sommer, Yann",17 December 1988,17,December,1988,GK,77,0,Borussia Mönchengladbach,Germany
703,Edimilson,Fernandes,"Fernandes, Edimilson",15 April 1996,15,April,1996,DF,22,2,Mainz 05,Germany
704,Silvan,Widmer,"Widmer, Silvan",5 March 1993,5,March,1993,DF,34,2,Mainz 05,Germany
705,Nico,Elvedi,"Elvedi, Nico",30 September 1996,30,September,1996,DF,41,1,Borussia Mönchengladbach,Germany
706,Manuel,Akanji,"Akanji, Manuel",19 July 1995,19,July,1995,DF,43,1,Manchester City,England
707,Denis,Zakaria,"Zakaria, Denis",20 November 1996,20,November,1996,MF,43,3,Chelsea,England
708,Breel,Embolo,"Embolo, Breel",14 February 1997,14,February,1997,FW,59,11,Monaco,France
709,Remo,Freuler,"Freuler, Remo",15 April 1992,15,April,1992,MF,49,5,Nottingham Forest,England
710,Haris,Seferovic,"Seferovic, Haris",22 February 1992,22,February,1992,FW,89,25,Galatasaray,Turkey
711,Granit,Xhaka,"Xhaka, Granit",27 September 1992,27,September,1992,MF,107,12,Arsenal,England
712,Renato,Steffen,"Steffen, Renato",3 November 1991,3,November,1991,DF,28,1,Lugano,Switzerland
713,Jonas,Omlin,"Omlin, Jonas",10 January 1994,10,January,1994,GK,4,0,Montpellier,France
714,Ricardo,Rodriguez,"Rodriguez, Ricardo",25 August 1992,25,August,1992,DF,100,9,Torino,Italy
715,Michel,Aebischer,"Aebischer, Michel",6 January 1997,6,January,1997,MF,12,0,Bologna,Italy
716,Djibril,Sow,"Sow, Djibril",6 February 1997,6,February,1997,MF,32,0,Eintracht Frankfurt,Germany
717,Christian,Fassnacht,"Fassnacht, Christian",11 November 1993,11,November,1993,MF,16,4,Young Boys,Switzerland
718,Ruben,Vargas,"Vargas, Ruben",5 August 1998,5,August,1998,FW,27,4,FC Augsburg,Germany
719,Eray,Comert,"Comert, Eray",4 February 1998,4,February,1998,DF,10,0,Valencia,Spain
720,Noah,Okafor,"Okafor, Noah",24 May 2000,24,May,2000,FW,9,2,Red Bull Salzburg,Austria
721,Fabian,Frei,"Frei, Fabian",8 January 1989,8,January,1989,MF,22,3,Basel,Switzerland
722,Gregor,Kobel,"Kobel, Gregor",6 December 1997,6,December,1997,GK,3,0,Borussia Dortmund,Germany
723,Fabian,Schar,"Schar, Fabian",20 December 1991,20,December,1991,DF,73,8,Newcastle United,England
724,Xherdan,Shaqiri,"Shaqiri, Xherdan",10 October 1991,10,October,1991,MF,109,26,Chicago Fire FC,United States
725,Philipp,Kohn,"Kohn, Philipp",2 April 1998,2,April,1998,GK,0,0,Red Bull Salzburg,Austria
726,Fabian,Rieder,"Rieder, Fabian",16 February 2002,16,February,2002,MF,0,0,Young Boys,Switzerland
727,Ardon,Jashari,"Jashari, Ardon",30 July 2002,30,July,2002,MF,1,0,Luzern,Switzerland
728,Lawrence,Ati-Zigi,"Ati-Zigi, Lawrence",29 November 1996,29,November,1996,GK,11,0,St. Gallen,Switzerland
729,Tariq,Lamptey,"Lamptey, Tariq",30 September 2000,30,September,2000,DF,2,0,Brighton & Hove Albion,England
730,Denis,Odoi,"Odoi, Denis",27 May 1988,27,May,1988,DF,4,0,Club Brugge,Belgium
731,Mohammed,Salisu,"Salisu, Mohammed",17 April 1999,17,April,1999,DF,3,1,Southampton,England
732,Thomas,Partey,"Partey, Thomas",13 June 1993,13,June,1993,MF,40,13,Arsenal,England
733,Elisha,Owusu,"Owusu, Elisha",7 November 1997,7,November,1997,MF,3,0,Gent,Belgium
734,Abdul Fatawu,Issahaku,"Issahaku, Abdul Fatawu",8 March 2004,8,March,2004,MF,13,1,Sporting CP,Portugal
735,Daniel-Kofi,Kyereh,"Kyereh, Daniel-Kofi",8 March 1996,8,March,1996,MF,15,0,SC Freiburg,Germany
736,Jordan,Ayew,"Ayew, Jordan",11 September 1991,11,September,1991,FW,84,19,Crystal Palace,England
737,Andre,Ayew,"Ayew, Andre",17 December 1989,17,December,1989,FW,110,23,Al-Sadd,Qatar
738,Osman,Bukari,"Bukari, Osman",13 December 1998,13,December,1998,MF,7,1,Red Star Belgrade,Serbia
739,Ibrahim,Danlad,"Danlad, Ibrahim",2 December 2002,2,December,2002,GK,4,0,Asante Kotoko,Ghana
740,Daniel,Afriyie,"Afriyie, Daniel",26 June 2001,26,June,2001,MF,7,3,Hearts of Oak,Ghana
741,Gideon,Mensah,"Mensah, Gideon",18 July 1998,18,July,1998,DF,12,0,Auxerre,France
742,Joseph,Aidoo,"Aidoo, Joseph",29 September 1995,29,September,1995,DF,11,0,Celta Vigo,Spain
743,Abdul,Manaf Nurudeen,"Manaf Nurudeen, Abdul",8 February 1999,8,February,1999,GK,2,0,Eupen,Belgium
744,Baba,Rahman,"Rahman, Baba",2 July 1994,2,July,1994,DF,48,1,Reading,England
745,Daniel,Amartey,"Amartey, Daniel",21 December 1994,21,December,1994,DF,46,0,Leicester City,England
