No,First Name,Other Names,Full Name,DOB,Day of Birth,Month of Birth,Year of Birth,Age,Position,Nationality,International Caps,International Goals,Club,League,Club Country
383,Kingsley,Coman,"Coman, Kingsley",13-Jun-96,13,June,1996,26,FW,France,40,5,Bayern Munich,German 1. Bundesliga,Germany
384,Lucas,Hernandez,"Hernandez, Lucas",14-Feb-96,14,February,1996,26,DF,France,32,0,Bayern Munich,German 1. Bundesliga,Germany
385,Theo,Hernandez,"Hernandez, Theo",6-Oct-97,6,October,1997,25,DF,France,7,1,Milan,Italian Serie A,Italy
386,Alphonse,Areola,"Areola, Alphonse",27-Feb-93,27,February,1993,29,GK,France,5,0,West Ham United,English Premier League,England
387,Ibrahima,Konate,"Konate, Ibrahima",25-May-99,25,May,1999,23,DF,France,2,0,Liverpool,English Premier League,England
388,Eduardo,Camavinga,"Camavinga, Eduardo",10-Nov-02,10,November,2002,20,MF,France,4,1,Real Madrid,Spain Primera Division,Spain
389,Marcus,Thuram,"Thuram, Marcus",6-Aug-97,6,August,1997,25,FW,France,4,0,Borussia Mönchengladbach,German 1. Bundesliga,Germany
390,Aymen,Mathlouthi,"Mathlouthi, Aymen",14-Sep-84,14,September,1984,38,GK,Tunisia,73,0,Étoile du Sahel,Tunisian Ligue Professionnelle 1,Tunisia
391,Bilel,Ifa,"Ifa, Bilel",9-Mar-90,9,March,1990,32,DF,Tunisia,37,0,Kuwait SC,Kuwait Premeir League,Kuwait
392,Montassar,Talbi,"Talbi, Montassar",26-May-98,26,May,1998,24,DF,Tunisia,23,1,Lorient,France Premeir League,France
393,Yassine,Meriah,"Meriah, Yassine",2-Jul-93,2,July,1993,29,DF,Tunisia,61,3,Espérance de Tunis,Tunisia Premeir League,Tunisia
394,Nader,Ghandri,"Ghandri, Nader",18-Feb-95,18,February,1995,27,MF,Tunisia,8,0,Club Africain,Tunisia Premeir League,Tunisia
395,Dylan,Bronn,"Bronn, Dylan",19-Jun-95,19,June,1995,27,DF,Tunisia,36,2,Salernitana,Italy Premeir League,Italy
396,Youssef,Msakni,"Msakni, Youssef",28-Oct-90,28,October,1990,32,FW,Tunisia,88,17,Al-Arabi,Qatar Premeir League,Qatar
397,Hannibal,Mejbri,"Mejbri, Hannibal",21-Jan-03,21,January,2003,19,MF,Tunisia,19,0,Birmingham City,English League Championship,England
398,Issam,Jebali,"Jebali, Issam",25-Dec-91,25,December,1991,30,FW,Tunisia,10,2,OB,Denmark Premeir League,Denmark
399,Wahbi,Khazri,"Khazri, Wahbi",8-Feb-91,8,February,1991,31,FW,Tunisia,72,24,Montpellier,France Premeir League,France
400,Taha Yassine,Khenissi,"Khenissi, Taha Yassine",6-Jan-92,6,January,1992,30,FW,Tunisia,48,9,Kuwait SC,Kuwait Premeir League,Kuwait
401,Ali,Maaloul,"Maaloul, Ali",1-Jan-90,1,January,1990,32,DF,Tunisia,83,2,Al Ahly,Egypt Premeir League,Egypt
402,Ferjani,Sassi,"Sassi, Ferjani",18-Mar-92,18,March,1992,30,MF,Tunisia,78,6,Al-Duhail,Qatar Premeir League,Qatar
403,Aissa,Laidouni,"Laidouni, Aissa",13-Dec-96,13,December,1996,25,MF,Tunisia,25,1,Ferencváros,Hungary Premeir League,Hungary
404,Mohamed Ali,Ben Romdhane,"Ben Romdhane, Mohamed Ali",6-Sep-99,6,September,1999,23,MF,Tunisia,23,1,Espérance de Tunis,Tunisia Premeir League,Tunisia
405,Aymen,Dahmen,"Dahmen, Aymen",28-Jan-97,28,January,1997,25,GK,Tunisia,5,0,CS Sfaxien,Tunisia Premeir League,Tunisia
406,Ellyes,Skhiri,"Skhiri, Ellyes",10-May-95,10,May,1995,27,MF,Tunisia,49,3,1. FC Köln,German 1. Bundesliga,Germany
407,Ghailene,Chaalali,"Chaalali, Ghailene",28-Feb-94,28,February,1994,28,MF,Tunisia,31,1,Espérance de Tunis,Tunisia Premeir League,Tunisia
408,Seifeddine,Jaziri,"Jaziri, Seifeddine",12-Feb-93,12,February,1993,29,FW,Tunisia,29,10,Zamalek,Egypt Premeir League,Egypt
409,Mohamed,Drager,"Drager, Mohamed",25-Jun-96,25,June,1996,26,DF,Tunisia,34,3,Luzern,Switzerland Premeir League,Switzerland
410,Wajdi,Kechrida,"Kechrida, Wajdi",5-Nov-95,5,November,1995,27,DF,Tunisia,19,0,Atromitos,Greece Premeir League,Greece
411,Bechir,Ben Said,"Ben Said, Bechir",29-Nov-92,29,November,1992,30,GK,Tunisia,10,0,US Monastir,Tunisia Premeir League,Tunisia
412,Naim,Sliti,"Sliti, Naim",27-Jul-92,27,July,1992,30,FW,Tunisia,69,14,Al-Ettifaq,Saudi Arabia Premeir League,Saudi Arabia
413,Ali,Abdi,"Abdi, Ali",20-Dec-93,20,December,1993,28,DF,Tunisia,10,2,Caen,France Premeir League,France
414,Anis Ben,Slimane,"Slimane, Anis Ben",16-Mar-01,16,March,2001,21,FW,Tunisia,25,4,Brøndby,Denmark Premeir League,Denmark
415,Mouez,Hassen,"Hassen, Mouez",5-Mar-95,5,March,1995,27,GK,Tunisia,20,0,Club Africain,Tunisia Premeir League,Tunisia
416,Keylor,Navas,"Navas, Keylor",15-Dec-86,15,December,1986,35,GK,Costa Rica,107,0,Paris Saint-Germain,French Ligue 1,France
417,Daniel,Chacon,"Chacon, Daniel",11-Apr-01,11,April,2001,21,MF,Costa Rica,8,0,Cartaginés,Costa Rica Premeir League,Costa Rica
418,Juan Pablo,Vargas,"Vargas, Juan Pablo",6-Jun-95,6,June,1995,27,DF,Costa Rica,12,1,Millonarios,Colombia Premeir League,Colombia
419,Keysher,Fuller,"Fuller, Keysher",12-Jul-94,12,July,1994,28,DF,Costa Rica,31,2,Herediano,Costa Rica Premeir League,Costa Rica
420,Celso,Borges,"Borges, Celso",27-May-88,27,May,1988,34,MF,Costa Rica,155,27,Alajuelense,Costa Rica Premeir League,Costa Rica
421,Oscar,Duarte,"Duarte, Oscar",3-Jun-89,3,June,1989,33,DF,Costa Rica,71,4,Al-Wehda,Saudi Arabia Premeir League,Saudi Arabia
422,Anthony,Contreras,"Contreras, Anthony",29-Jan-00,29,January,2000,22,FW,Costa Rica,9,2,Herediano,Costa Rica Premeir League,Costa Rica
423,Bryan,Oviedo,"Oviedo, Bryan",18-Feb-90,18,February,1990,32,DF,Costa Rica,76,2,Real Salt Lake,USA Major League Soccer,United States
424,Jewison,Bennette,"Bennette, Jewison",15-Jun-04,15,June,2004,18,MF,Costa Rica,7,2,Sunderland,English League One,England
425,Bryan,Ruiz,"Ruiz, Bryan",18-Aug-85,18,August,1985,37,MF,Costa Rica,146,29,Alajuelense,Costa Rica Premeir League,Costa Rica
426,Johan,Venegas,"Venegas, Johan",27-Nov-88,27,November,1988,34,FW,Costa Rica,82,11,Alajuelense,Costa Rica Premeir League,Costa Rica
427,Joel,Campbell,"Campbell, Joel",26-Jun-92,26,June,1992,30,FW,Costa Rica,119,25,León,Mexico Premeir League,Mexico
428,Gerson,Torres,"Torres, Gerson",28-Aug-97,28,August,1997,25,MF,Costa Rica,13,1,Herediano,Costa Rica Premeir League,Costa Rica
429,Youstin,Salas,"Salas, Youstin",17-Jun-96,17,June,1996,26,MF,Costa Rica,4,0,Saprissa,Costa Rica Premeir League,Costa Rica
430,Francisco,Calvo,"Calvo, Francisco",8-Jul-92,8,July,1992,30,DF,Costa Rica,75,8,Konyaspor,Turkey Premeir League,Turkey
431,Carlos,Martinez,"Martinez, Carlos",30-Mar-99,30,March,1999,23,DF,Costa Rica,7,0,San Carlos,Costa Rica Premeir League,Costa Rica
432,Yeltsin,Tejeda,"Tejeda, Yeltsin",17-Mar-92,17,March,1992,30,MF,Costa Rica,73,0,Herediano,Costa Rica Premeir League,Costa Rica
433,Esteban,Alvarado,"Alvarado, Esteban",28-Apr-89,28,April,1989,33,GK,Costa Rica,25,0,Herediano,Costa Rica Premeir League,Costa Rica
434,Kendall,Waston,"Waston, Kendall",1-Jan-88,1,January,1988,34,DF,Costa Rica,63,9,Saprissa,Costa Rica Premeir League,Costa Rica
435,Brandon,Aguilera,"Aguilera, Brandon",28-Jun-03,28,June,2003,19,MF,Costa Rica,4,0,Guanacasteca,Costa Rica Premeir League,Costa Rica
436,Douglas,Lopez,"Lopez, Douglas",21-Sep-98,21,September,1998,24,MF,Costa Rica,3,0,Herediano,Costa Rica Premeir League,Costa Rica
437,Ronald,Matarrita,"Matarrita, Ronald",9-Jul-94,9,July,1994,28,DF,Costa Rica,52,3,FC Cincinnati,USA Major League Soccer,United States
438,Patrick,Sequeira,"Sequeira, Patrick",1-Mar-99,1,March,1999,23,GK,Costa Rica,2,0,Lugo,Spain Premeir League,Spain
439,Roan,Wilson,"Wilson, Roan",1-May-02,1,May,2002,20,MF,Costa Rica,3,0,Municipal Grecia,Costa Rica Premeir League,Costa Rica
440,Anthony,Hernandez,"Hernandez, Anthony",11-Oct-01,11,October,2001,21,MF,Costa Rica,3,1,Puntarenas,Costa Rica Premeir League,Costa Rica
441,Alvaro,Zamora,"Zamora, Alvaro",9-Mar-02,9,March,2002,20,MF,Costa Rica,3,0,Saprissa,Costa Rica Premeir League,Costa Rica
442,Manuel,Neuer,"Neuer, Manuel",27-Mar-86,27,March,1986,36,GK,Germany,114,0,Bayern Munich,German 1. Bundesliga,Germany
443,Antonio,Rudiger,"Rudiger, Antonio",3-Mar-93,3,March,1993,29,DF,Germany,54,2,Real Madrid,Spain Primera Division,Spain
444,David,Raum,"Raum, David",22-Apr-98,22,April,1998,24,DF,Germany,12,0,RB Leipzig,German 1. Bundesliga,Germany
445,Matthias,Ginter,"Ginter, Matthias",19-Jan-94,19,January,1994,28,DF,Germany,47,2,SC Freiburg,German 1. Bundesliga,Germany
446,Thilo,Kehrer,"Kehrer, Thilo",21-Sep-96,21,September,1996,26,DF,Germany,23,0,West Ham United,English Premier League,England
447,Joshua,Kimmich,"Kimmich, Joshua",8-Feb-95,8,February,1995,27,MF,Germany,71,5,Bayern Munich,German 1. Bundesliga,Germany
448,Kai,Havertz,"Havertz, Kai",11-Jun-99,11,June,1999,23,FW,Germany,31,10,Chelsea,English Premier League,England
449,Leon,Goretzka,"Goretzka, Leon",6-Feb-95,6,February,1995,27,MF,Germany,45,14,Bayern Munich,German 1. Bundesliga,Germany
450,Niclas,Fullkrug,"Fullkrug, Niclas",9-Feb-93,9,February,1993,29,FW,Germany,1,1,Werder Bremen,German 1. Bundesliga,Germany
451,Serge,Gnabry,"Gnabry, Serge",14-Jul-95,14,July,1995,27,FW,Germany,36,20,Bayern Munich,German 1. Bundesliga,Germany
452,Mario,Gotze,"Gotze, Mario",3-Jun-92,3,June,1992,30,MF,Germany,63,17,Eintracht Frankfurt,German 1. Bundesliga,Germany
453,Kevin,Trapp,"Trapp, Kevin",8-Jul-90,8,July,1990,32,GK,Germany,6,0,Eintracht Frankfurt,German 1. Bundesliga,Germany
454,Thomas,Muller,"Muller, Thomas",13-Sep-89,13,September,1989,33,MF,Germany,118,44,Bayern Munich,German 1. Bundesliga,Germany
455,Jamal,Musiala,"Musiala, Jamal",26-Feb-03,26,February,2003,19,MF,Germany,17,1,Bayern Munich,German 1. Bundesliga,Germany
456,Niklas,Sule,"Sule, Niklas",3-Sep-95,3,September,1995,27,DF,Germany,42,1,Borussia Dortmund,German 1. Bundesliga,Germany
457,Lukas,Klostermann,"Klostermann, Lukas",3-Jun-96,3,June,1996,26,DF,Germany,19,0,RB Leipzig,German 1. Bundesliga,Germany
458,Julian,Brandt,"Brandt, Julian",2-May-96,2,May,1996,26,MF,Germany,39,3,Borussia Dortmund,German 1. Bundesliga,Germany
459,Jonas,Hofmann,"Hofmann, Jonas",14-Jul-92,14,July,1992,30,MF,Germany,17,4,Borussia Mönchengladbach,German 1. Bundesliga,Germany
460,Leroy,Sane,"Sane, Leroy",11-Jan-96,11,January,1996,26,MF,Germany,48,11,Bayern Munich,German 1. Bundesliga,Germany
461,Christian,Gunter,"Gunter, Christian",28-Feb-93,28,February,1993,29,DF,Germany,7,0,SC Freiburg,German 1. Bundesliga,Germany
462,Ilkay,Gundogan,"Gundogan, Ilkay",24-Oct-90,24,October,1990,32,MF,Germany,63,16,Manchester City,English Premier League,England
463,Marc-Andre,Ter Stegen,"Ter Stegen, Marc-Andre",30-Apr-92,30,April,1992,30,GK,Germany,30,0,Barcelona,Spain Primera Division,Spain
464,Nico,Schlotterbeck,"Schlotterbeck, Nico",1-Dec-99,1,December,1999,22,DF,Germany,6,0,Borussia Dortmund,German 1. Bundesliga,Germany
465,Karim,Adeyemi,"Adeyemi, Karim",18-Jan-02,18,January,2002,20,FW,Germany,4,1,Borussia Dortmund,German 1. Bundesliga,Germany
466,Armel,Bella-Kotchap,"Bella-Kotchap, Armel",11-Dec-01,11,December,2001,20,DF,Germany,2,0,Southampton,English Premier League,England
467,Youssoufa,Moukoko,"Moukoko, Youssoufa",20-Nov-04,20,November,2004,18,FW,Germany,1,0,Borussia Dortmund,German 1. Bundesliga,Germany
468,Eiji,Kawashima,"Kawashima, Eiji",20-Mar-83,20,March,1983,39,GK,Japan,95,0,Strasbourg,France Premeir League,France
469,Miki,Yamane,"Yamane, Miki",22-Dec-93,22,December,1993,28,DF,Japan,15,2,Kawasaki Frontale,Japanese J. League Division 1,Japan
470,Shogo,Taniguchi,"Taniguchi, Shogo",15-Jul-91,15,July,1991,31,DF,Japan,14,0,Kawasaki Frontale,Japanese J. League Division 1,Japan
471,Ko,Itakura,"Itakura, Ko",27-Jan-97,27,January,1997,25,DF,Japan,13,1,Borussia Mönchengladbach,German 1. Bundesliga,Germany
472,Yuto,Nagatomo,"Nagatomo, Yuto",12-Sep-86,12,September,1986,36,DF,Japan,138,4,FC Tokyo,Japanese J. League Division 1,Japan
473,Wataru,Endo,"Endo, Wataru",9-Feb-93,9,February,1993,29,MF,Japan,43,2,VfB Stuttgart,German 1. Bundesliga,Germany
474,Gaku,Shibasaki,"Shibasaki, Gaku",28-May-92,28,May,1992,30,MF,Japan,60,3,Leganés,Spain Premeir League,Spain
475,Ritsu,Doan,"Doan, Ritsu",16-Jun-98,16,June,1998,24,MF,Japan,29,3,SC Freiburg,German 1. Bundesliga,Germany
476,Kaoru,Mitoma,"Mitoma, Kaoru",20-May-97,20,May,1997,25,MF,Japan,9,5,Brighton & Hove Albion,English Premier League,England
477,Takumi,Minamino,"Minamino, Takumi",16-Jan-95,16,January,1995,27,MF,Japan,44,17,Monaco,French Ligue 1,France
478,Takefusa,Kubo,"Kubo, Takefusa",4-Jun-01,4,June,2001,21,MF,Japan,20,1,Real Sociedad,Spain Primera Division,Spain
479,Shuichi,Gonda,"Gonda, Shuichi",3-Mar-89,3,March,1989,33,GK,Japan,34,0,Shimizu S-Pulse,Japanese J. League Division 1,Japan
480,Hidemasa,Morita,"Morita, Hidemasa",10-May-95,10,May,1995,27,MF,Japan,17,2,Sporting CP,Portuguese Liga ZON SAGRES,Portugal
481,Junya,Ito,"Ito, Junya",9-Mar-93,9,March,1993,29,MF,Japan,38,9,Reims,France Premeir League,France
482,Daichi,Kamada,"Kamada, Daichi",5-Aug-96,5,August,1996,26,MF,Japan,22,6,Eintracht Frankfurt,German 1. Bundesliga,Germany
483,Takehiro,Tomiyasu,"Tomiyasu, Takehiro",5-Nov-98,5,November,1998,24,DF,Japan,29,1,Arsenal,English Premier League,England
484,Ao,Tanaka,"Tanaka, Ao",10-Sep-98,10,September,1998,24,MF,Japan,15,2,Fortuna Düsseldorf,German 2. Bundesliga,Germany
485,Takuma,Asano,"Asano, Takuma",10-Nov-94,10,November,1994,28,FW,Japan,37,7,VfL Bochum,Germany Premeir League,Germany
486,Hiroki,Sakai,"Sakai, Hiroki",12-Apr-90,12,April,1990,32,DF,Japan,72,1,Urawa Red Diamonds,Japanese J. League Division 1,Japan
487,Shuto,Machino,"Machino, Shuto",30-Sep-99,30,September,1999,23,FW,Japan,4,3,Shonan Bellmare,Japanese J. League Division 1,Japan
488,Ayase,Ueda,"Ueda, Ayase",28-Aug-98,28,August,1998,24,FW,Japan,11,0,Cercle Brugge,Belgian Jupiler Pro League,Belgium
489,Maya,Yoshida,"Yoshida, Maya",24-Aug-88,24,August,1988,34,DF,Japan,122,12,Schalke 04,Germany Premeir League,Germany
490,Daniel,Schmidt,"Schmidt, Daniel",3-Feb-92,3,February,1992,30,GK,Japan,11,0,Sint-Truiden,Belgium Premeir League,Belgium
491,Yuki,Soma,"Soma, Yuki",25-Feb-97,25,February,1997,25,MF,Japan,8,4,Nagoya Grampus,Japanese J. League Division 1,Japan
492,Daizen,Maeda,"Maeda, Daizen",20-Oct-97,20,October,1997,25,FW,Japan,8,1,Celtic,Scottish Premiership,Scotland
493,Hiroki,Ito,"Ito, Hiroki",12-May-99,12,May,1999,23,DF,Japan,6,0,VfB Stuttgart,German 1. Bundesliga,Germany
494,Robert,Sanchez,"Sanchez, Robert",18-Nov-97,18,November,1997,25,GK,Spain,2,0,Brighton & Hove Albion,English Premier League,England
495,Cesar,Azpilicueta,"Azpilicueta, Cesar",28-Aug-89,28,August,1989,33,DF,Spain,42,1,Chelsea,English Premier League,England
496,Eric,Garcia,"Garcia, Eric",9-Jan-01,9,January,2001,21,DF,Spain,19,0,Barcelona,Spain Primera Division,Spain
497,Pau,Torres,"Torres, Pau",16-Jan-97,16,January,1997,25,DF,Spain,22,1,Villarreal,Spain Primera Division,Spain
498,Sergio,Busquets,"Busquets, Sergio",16-Jul-88,16,July,1988,34,MF,Spain,139,2,Barcelona,Spain Primera Division,Spain
499,Marcos,Llorente,"Llorente, Marcos",30-Jan-95,30,January,1995,27,MF,Spain,17,0,Atlético Madrid,Spain Primera Division,Spain
500,Alvaro,Morata,"Morata, Alvaro",23-Oct-92,23,October,1992,30,FW,Spain,57,27,Atlético Madrid,Spain Primera Division,Spain
501,Koke,,Koke,8-Jan-92,8,January,1992,30,MF,Spain,68,0,Atlético Madrid,Spain Primera Division,Spain
502,Gavi,,Gavi,5-Aug-04,5,August,2004,18,MF,Spain,13,2,Barcelona,Spain Primera Division,Spain
503,Marco,Asensio,"Asensio, Marco",21-Jan-96,21,January,1996,26,FW,Spain,31,1,Real Madrid,Spain Primera Division,Spain
504,Ferran,Torres,"Torres, Ferran",29-Feb-00,29,February,2000,22,FW,Spain,31,13,Barcelona,Spain Primera Division,Spain
505,Nico,Williams,"Williams, Nico",12-Jul-02,12,July,2002,20,FW,Spain,3,1,Athletic Bilbao,Spain Primera Division,Spain
506,David,Raya,"Raya, David",15-Sep-95,15,September,1995,27,GK,Spain,2,0,Brentford,English Premier League,England
507,Alejandro,Balde,"Balde, Alejandro",18-Oct-03,18,October,2003,19,DF,Spain,0,0,Barcelona,Spain Primera Division,Spain
508,Hugo,Guillamon,"Guillamon, Hugo",31-Jan-00,31,January,2000,22,DF,Spain,3,1,Valencia,Spain Primera Division,Spain
509,Rodri,,Rodri,22-Jun-96,22,June,1996,26,MF,Spain,35,1,Manchester City,English Premier League,England
510,Yeremy,Pino,"Pino, Yeremy",20-Oct-02,20,October,2002,20,FW,Spain,7,1,Villarreal,Spain Primera Division,Spain
511,Jordi,Alba,"Alba, Jordi",21-Mar-89,21,March,1989,33,DF,Spain,87,9,Barcelona,Spain Primera Division,Spain
512,Carlos,Soler,"Soler, Carlos",2-Jan-97,2,January,1997,25,MF,Spain,12,3,Paris Saint-Germain,French Ligue 1,France
513,Dani,Carvajal,"Carvajal, Dani",11-Jan-92,11,January,1992,30,DF,Spain,31,0,Real Madrid,Spain Primera Division,Spain
514,Dani,Olmo,"Olmo, Dani",7-May-98,7,May,1998,24,FW,Spain,25,4,RB Leipzig,German 1. Bundesliga,Germany
515,Pablo,Sarabia,"Sarabia, Pablo",11-May-92,11,May,1992,30,FW,Spain,25,9,Paris Saint-Germain,French Ligue 1,France
516,Unai,Simon,"Simon, Unai",11-Jun-97,11,June,1997,25,GK,Spain,27,0,Athletic Bilbao,Spain Primera Division,Spain
517,Aymeric,Laporte,"Laporte, Aymeric",27-May-94,27,May,1994,28,DF,Spain,16,1,Manchester City,English Premier League,England
518,Ansu,Fati,"Fati, Ansu",31-Oct-02,31,October,2002,20,FW,Spain,5,2,Barcelona,Spain Primera Division,Spain
519,Pedri,,Pedri,25-Nov-02,25,November,2002,20,MF,Spain,14,0,Barcelona,Spain Primera Division,Spain
520,Thibaut,Courtois,"Courtois, Thibaut",11-May-92,11,May,1992,30,GK,Belgium,97,0,Real Madrid,Spain Primera Division,Spain
521,Toby,Alderweireld,"Alderweireld, Toby",2-Mar-89,2,March,1989,33,DF,Belgium,124,5,Antwerp,Belgium Premeir League,Belgium
522,Arthur,Theate,"Theate, Arthur",25-May-00,25,May,2000,22,DF,Belgium,4,0,Rennes,France Premeir League,France
523,Wout,Faes,"Faes, Wout",3-Apr-98,3,April,1998,24,DF,Belgium,1,0,Leicester City,English Premier League,England
524,Jan,Vertonghen,"Vertonghen, Jan",24-Apr-87,24,April,1987,35,DF,Belgium,142,9,Anderlecht,Belgium Premeir League,Belgium
525,Axel,Witsel,"Witsel, Axel",12-Jan-89,12,January,1989,33,MF,Belgium,127,12,Atlético Madrid,Spain Premeir League,Spain
526,Kevin,De Bruyne,"De Bruyne, Kevin",28-Jun-91,28,June,1991,31,MF,Belgium,94,25,Manchester City,English Premier League,England
527,Youri,Tielemans,"Tielemans, Youri",7-May-97,7,May,1997,25,MF,Belgium,55,5,Leicester City,English Premier League,England
528,Romelu,Lukaku,"Lukaku, Romelu",13-May-93,13,May,1993,29,FW,Belgium,102,68,Internazionale,Italy Premeir League,Italy
529,Eden,Hazard,"Hazard, Eden",7-Jan-91,7,January,1991,31,FW,Belgium,123,33,Real Madrid,Spain Primera Division,Spain
530,Yannick,Carrasco,"Carrasco, Yannick",4-Sep-93,4,September,1993,29,FW,Belgium,60,8,Atlético Madrid,Spain Primera Division,Spain
531,Simon,Mignolet,"Mignolet, Simon",6-Mar-88,6,March,1988,34,GK,Belgium,35,0,Club Brugge,Belgian Jupiler Pro League,Belgium
532,Koen,Casteels,"Casteels, Koen",25-Jun-92,25,June,1992,30,GK,Belgium,4,0,VfL Wolfsburg,German 1. Bundesliga,Germany
533,Dries,Mertens,"Mertens, Dries",6-May-87,6,May,1987,35,FW,Belgium,107,21,Galatasaray,Turkey Premeir League,Turkey
534,Thomas,Meunier,"Meunier, Thomas",12-Sep-91,12,September,1991,31,MF,Belgium,59,8,Borussia Dortmund,German 1. Bundesliga,Germany
535,Thorgan,Hazard,"Hazard, Thorgan",29-Mar-93,29,March,1993,29,MF,Belgium,45,9,Borussia Dortmund,German 1. Bundesliga,Germany
536,Leandro,Trossard,"Trossard, Leandro",4-Dec-94,4,December,1994,27,FW,Belgium,21,5,Brighton & Hove Albion,English Premier League,England
537,Amadou,Onana,"Onana, Amadou",16-Aug-01,16,August,2001,21,MF,Belgium,2,0,Everton,English Premier League,England
538,Leander,Dendoncker,"Dendoncker, Leander",15-Apr-95,15,April,1995,27,DF,Belgium,29,1,Aston Villa,English Premier League,England
539,Hans,Vanaken,"Vanaken, Hans",24-Aug-92,24,August,1992,30,MF,Belgium,23,5,Club Brugge,Belgian Jupiler Pro League,Belgium
540,Timothy,Castagne,"Castagne, Timothy",5-Dec-95,5,December,1995,26,MF,Belgium,26,2,Leicester City,English Premier League,England
541,Charles,De Ketelaere,"De Ketelaere, Charles",10-Mar-01,10,March,2001,21,FW,Belgium,10,1,Milan,Italian Serie A,Italy
542,Michy,Batshuayi,"Batshuayi, Michy",2-Oct-93,2,October,1993,29,FW,Belgium,48,26,Fenerbahçe,Turkey Premeir League,Turkey
543,Lois,Openda,"Openda, Lois",16-Feb-00,16,February,2000,22,FW,Belgium,5,2,Lens,France Premeir League,France
544,Jeremy,Doku,"Doku, Jeremy",27-May-02,27,May,2002,20,FW,Belgium,11,2,Rennes,France Premeir League,France
545,Zeno,Debast,"Debast, Zeno",24-Oct-03,24,October,2003,19,DF,Belgium,3,0,Anderlecht,Belgium Premeir League,Belgium
546,Dayne,St Clair,"St Clair, Dayne",9-May-97,9,May,1997,25,GK,Canada,2,0,Minnesota United FC,USA Major League Soccer,United States
547,Alistair,Johnston,"Johnston, Alistair",8-Oct-98,8,October,1998,24,DF,Canada,30,1,CF Montréal,Canada Premeir League,Canada
548,Sam,Adekugbe,"Adekugbe, Sam",16-Jan-95,16,January,1995,27,DF,Canada,34,1,Hatayspor,Turkey Premeir League,Turkey
549,Kamal,Miller,"Miller, Kamal",16-May-97,16,May,1997,25,DF,Canada,29,0,CF Montréal,Canada Premeir League,Canada
550,Steven,Vitoria,"Vitoria, Steven",11-Jan-87,11,January,1987,35,DF,Canada,35,4,Chaves,Portugal Premeir League,Portugal
551,Samuel,Piette,"Piette, Samuel",12-Nov-94,12,November,1994,28,MF,Canada,66,0,CF Montréal,Canada Premeir League,Canada
552,Stephen,Eustaquio,"Eustaquio, Stephen",21-Dec-96,21,December,1996,25,MF,Canada,26,3,Porto,Portugal Premeir League,Portugal
553,Liam,Fraser,"Fraser, Liam",13-Feb-98,13,February,1998,24,MF,Canada,15,0,Deinze,Belgium Premeir League,Belgium
554,Lucas,Cavallini,"Cavallini, Lucas",28-Dec-92,28,December,1992,29,FW,Canada,34,18,Vancouver Whitecaps FC,USA Major League Soccer,Canada
555,Junior,Hoilett,"Hoilett, Junior",5-Jun-90,5,June,1990,32,MF,Canada,50,14,Reading,English League Championship,England
556,Tajon,Buchanan,"Buchanan, Tajon",8-Feb-99,8,February,1999,23,FW,Canada,26,4,Club Brugge,Belgian Jupiler Pro League,Belgium
557,Ike,Ugbo,"Ugbo, Ike",21-Sep-98,21,September,1998,24,FW,Canada,8,0,Troyes,French Ligue 1,France
558,Atiba,Hutchinson,"Hutchinson, Atiba",8-Feb-83,8,February,1983,39,MF,Canada,98,9,Beşiktaş,Turkish Süper Lig,Turkey
559,Mark-Anthony,Kaye,"Kaye, Mark-Anthony",2-Dec-94,2,December,1994,27,MF,Canada,38,2,Toronto FC,USA Major League Soccer,Canada
560,Ismael,Kone,"Kone, Ismael",16-Jun-02,16,June,2002,20,MF,Canada,6,1,CF Montréal,Canada Premeir League,Canada
561,James,Pantemis,"Pantemis, James",21-Feb-97,21,February,1997,25,GK,Canada,0,0,CF Montréal,Canada Premeir League,Canada
562,Cyle,Larin,"Larin, Cyle",17-Apr-95,17,April,1995,27,FW,Canada,55,25,Club Brugge,Belgian Jupiler Pro League,Belgium
563,Milan,Borjan,"Borjan, Milan",23-Oct-87,23,October,1987,35,GK,Canada,68,0,Red Star Belgrade,Serbia Premeir League,Serbia
564,Alphonso,Davies,"Davies, Alphonso",2-Nov-00,2,November,2000,22,FW,Canada,34,12,Bayern Munich,German 1. Bundesliga,Germany
565,Jonathan,David,"David, Jonathan",14-Jan-00,14,January,2000,22,FW,Canada,35,22,Lille,France Premeir League,France
566,Jonathan,Osorio,"Osorio, Jonathan",12-Jun-92,12,June,1992,30,MF,Canada,57,7,Toronto FC,USA Major League Soccer,Canada
567,Richie,Laryea,"Laryea, Richie",7-Jan-95,7,January,1995,27,DF,Canada,34,1,Toronto FC,USA Major League Soccer,Canada
568,Liam,Millar,"Millar, Liam",27-Sep-99,27,September,1999,23,MF,Canada,16,0,Basel,Switzerland Premeir League,Switzerland
569,David,Wotherspoon,"Wotherspoon, David",16-Jan-90,16,January,1990,32,MF,Canada,10,1,St Johnstone,Scotland Premeir League,Scotland
570,Derek,Cornelius,"Cornelius, Derek",25-Nov-97,25,November,1997,25,DF,Canada,14,0,Panetolikos,Greece Premeir League,Greece
571,Joel,Waterman,"Waterman, Joel",24-Jan-96,24,January,1996,26,DF,Canada,2,0,CF Montréal,Canada Premeir League,Canada
